"2025 American League Team Standings
2025 All-Star Game | 2025 Team Standings | 2025 World Series"
East,Team | Roster,W,L,T,WP,GB
Toronto Blue Jays,94,68,0,.580,-
New York Yankees wc,94,68,0,.580,-
Boston Red Sox wc,89,73,0,.549,5.0
Tampa Bay Rays,77,85,0,.475,17.0
Baltimore Orioles,75,87,0,.463,19.0
Central,Team | Roster,W,L,T,WP,GB
Cleveland Guardians,88,74,0,.543,-
Detroit Tigers wc,87,75,0,.537,1.0
Kansas City Royals,82,80,0,.506,6.0
Minnesota Twins,70,92,0,.432,18.0
Chicago White Sox,60,102,0,.370,28.0
West,Team | Roster,W,L,T,WP,GB
Seattle Mariners,90,72,0,.556,-
Houston Astros,87,75,0,.537,3.0
Texas Rangers,81,81,0,.500,9.0
Sacramento Athletics,76,86,0,.469,14.0
Los Angeles Angels,72,90,0,.444,18.0
A.L.,Team | Roster,W,L,T,WP,GB
2025 American League Standings
