"2014 American League Player Review
← 2013 | 2014 Hitting Statistics League Leaders | 2015 →"
Statistic,Name,Team,#,Top 25
Base on Balls,Carlos Santana,Cleveland,113,Top 25
Batting Average,Jose Altuve,Houston,.341,Top 25
Doubles,Miguel Cabrera,Detroit,52,Top 25
Hits,Jose Altuve,Houston,225,Top 25
Home Runs,Nelson Cruz,Baltimore,40,Top 25
On Base Percentage,Victor Martinez,Detroit,.409,Top 25
RBI,Mike Trout,Los Angeles,111,Top 25
Runs,Mike Trout,Los Angeles,115,Top 25
Slugging Average,Jose Abreu,Chicago,.581,Top 25
Stolen Bases,Jose Altuve,Chicago,56,Top 25
Total Bases,Mike Trout,Los Angeles,338,Top 25
Triples,Michael Bourn,Cleveland,10,Top 25
Adam Eaton,Chicago,10
Statistic,Name,Team,#,Top25
2014 A.L. History | 2014 N.L. History | Year-by-Year History
